date,ummSaid_0,ummSaid_1,ummSaid_10,ummSaid_11,ummSaid_19,ummSaid_2,ummSaid_20,ummSaid_21,ummSaid_22,ummSaid_23,ummSaid_24,ummSaid_25,ummSaid_26,ummSaid_27,ummSaid_28,ummSaid_29,ummSaid_3,ummSaid_30,ummSaid_31,ummSaid_32,ummSaid_33,ummSaid_34,ummSaid_35,ummSaid_36,ummSaid_37,ummSaid_38,ummSaid_4,ummSaid_5,ummSaid_6,ummSaid_7,ummSaid_8,ummSaid_9,total_build,total_draw
2026-07-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-30,29.177000697218055,106.8658649559725,29.527379897700886,-34.43540480903571,-170.129518033591,-3.4850689090788074,1.2588569902892923,-1.2579548355375882,2.797483050512732,-12.003995340024849,-33.96817921142337,157.11991356316014,209.07631813588398,27.31050872323339,-138.14076159759384,11.965283689309203,198.17616169942525,-166.10795959253394,-184.19713155219964,-179.70870125925398,2.3078798620915912,-2.82793724824494,33.408407685906305,-1.7235955421883555,-67.38061071680356,-1.019668304836523,179.65535400860114,52.780117565278374,-117.34006299225457,-49.58955543676009,-22.82210726217259,1.1857768136815285,1042.6123073382646,-1186.138212643533
2026-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-05,21.12907019889317,-106.8658649559725,6.511922355841729,-5.7610784803914,-42.48679339207563,-127.37814643427363,68.61929874032148,1.4258875633870194,133.03518901838302,202.4264392708984,32.021046974293206,-104.36907317886588,-116.54154921026554,-74.3988844897284,181.67761145250847,2.518709134998382,-192.66669679625107,166.10795959253394,156.23888203948925,78.86878695230934,0.8643383114062599,5.252762781769357,36.46197955774155,0.8600050410297408,67.38061071680356,-1.7217646825586854,2.091880175831349,-3.619912611830805,72.2182028496371,-0.1773965035618894,22.82210726217259,10.526196375245913,1269.058886365495,-775.9871607357754
2026-08-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-11,99.41617947704671,214.93512189118212,-36.4630512851142,51.678468665671176,21.844320671853318,115.5630094923869,3.784711505451007,-2.195568931101996,-159.702209388554,-136.56409388493205,-45.6119562979848,49.10913588381158,61.567883542147236,-7.0256379360559515,-38.373471813037035,182.0567397610523,192.66669679625107,-126.3040390662487,-118.78979241093703,101.51097515762804,165.3219355918799,3.1571296697240325,-47.618728870920776,1.5942514108393224,-143.99325580973542,-4.795084146902052,-79.69772532534758,-96.40055044704664,-1.9865660050905136,48.076195183097994,-2.921682143500948,-10.045859693660153,1312.2827547000231,-1058.4892734561697
2026-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
