date,zirkuIsland_0,zirkuIsland_1,zirkuIsland_2,zirkuIsland_3,zirkuIsland_4,zirkuIsland_5,zirkuIsland_6,zirkuIsland_7,zirkuIsland_8,zirkuIsland_9,total_build,total_draw
2026-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-31,-831.9242840330786,-338.91547048445,59.03494116964284,447.33607873078006,514.9178238120478,347.37514302787116,-217.16628110729508,78.94294363362819,-33.33429772814084,397.85520071665246,1845.4621310906225,-1421.3403333529645
2026-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-03,390.0538076900848,-336.68499030649537,-54.480107255227985,-436.0910481931324,-731.1228770496978,-1046.8299163774182,368.2955056133084,298.24365475123204,-57.05759152465745,318.484550417,1375.0775184716254,-2662.266530706629
2026-06-04,100.03548487543594,178.93594025079358,1.2164233559346758,0.42943640317360404,571.0193116170735,7.996465184788453,-411.4267901537769,292.7479813966283,-0.3532276934012771,-249.9200840798144,1152.381043083828,-661.7001019269926
2026-06-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-06,346.15472317177876,-155.09765589227538,60.80049266276625,-5.106583539701998,-130.29989939637576,584.5072640018084,903.2827387977678,-866.8053201575344,71.57587940433505,-92.54237469827663,1966.321098038456,-1249.8518336841641
2026-06-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-09,-827.3112552827373,78.22762500857806,-68.24267077187065,-1.870383678093087,131.6664441964659,-53.008975830381736,-635.5491966359292,276.8023346425507,34.50355512570299,342.462458778091,863.6624177513886,-1585.9824821990119
2026-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-13,491.9726432793477,-74.90090013830562,36.03232922400476,-8.070643861904625,-687.6047351856367,-144.0759764505555,-28.535204034507625,118.53175600594375,-46.68002907141508,-913.6336260357197,646.5367285092963,-1903.5011147780447
2026-06-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
