date,jask_0,jask_1,jask_10,jask_11,jask_12,jask_13,jask_14,jask_15,jask_16,jask_17,jask_18,jask_19,jask_2,jask_3,jask_4,jask_5,jask_6,jask_7,jask_8,jask_9,total_build,total_draw
2026-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-02,-10.020627254848893,-9.471762266119768,0.0,0.0,-5.597232763095759,-34.08562922510475,-9.819335196142841,2.9000374749908224,-317.5732332603195,-295.2814295437406,0.0,-406.8009632327161,20.050490424256946,29.08189343931532,5.887228426937538,-23.04827160207287,38.96906397047895,-2.3917165602352473,0.0,0.0,96.88871373597956,-1114.0902009043962
2026-08-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-05,16.611240121354466,37.686931421668795,0.0,0.0,13.010487270297716,44.1196999729707,20.790201913253988,4.958513278171246,93.94260358414648,3.4441082843602056,0.0,-6.572072329915478,-6.111396020488697,-19.354338412814833,8.39654596860637,33.743919381941666,-33.369857438563315,12.013523961760221,0.0,0.0,288.7177751585318,-65.40766420178232
2026-08-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08,-19.5210058514743,-40.44561093931738,0.0,0.0,-13.893462455951028,-47.155660989651516,-20.72162347857363,-4.729100995532412,-97.74087565190001,-9.098535795616394,0.0,10.870406669249293,29.33469986965251,21.015567659827298,-6.4816373746460885,-29.824373358054437,33.203600357668996,-9.76323455408396,0.0,0.0,94.4242745563981,-299.3751214448012
2026-08-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-11,8.667728786928405,174.06063799085234,-9.160095668869559,-3.819162843921338,-15.500058101764765,9.92542084542307,-14.70500038235169,-16.98152299260936,63.72452112198068,-8.986641897137336,-1.8171204411662185,2.7127396401314763,-71.4297042517959,-43.23213465913391,-26.982041118216177,0.6979008132127928,-52.17766447025037,-16.464392693013536,0.0,0.0,259.78894919852877,-281.2555395202302
2026-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
