date,lavan1_0,lavan1_1,lavan1_2,lavan1_3,lavan1_4,lavan1_5,lavan1_6,lavan1_7,lavan2_0,lavan2_1,lavan2_10,lavan2_11,lavan2_12,lavan2_13,lavan2_14,lavan2_15,lavan2_6,lavan2_7,lavan2_8,lavan2_9,total_build,total_draw
2026-08-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-03,206.11397334486287,-522.289590829958,2.9050565370889965,-97.2455295153353,-140.4418787575924,3.857146411233698,8.04347912347893,1.6634418820519932,-44.0974076376022,0.0,5.308474964456996,0.35954855942571884,0.0,-34.564301509232614,2.655766354767591,1.1067393861365562,7.664086959142748,21.80360291141771,-8.168293980460934,83.80953144351405,345.29084787757785,-846.8070022301813
2026-08-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-09,-41.81702634117543,-3.7182076270565156,-2.4999331102852014,-11.858255577703414,140.4418787575924,-2.097892317427264,-1.9750348878701915,-4.91286806750641,71.45081547557608,0.0,-0.4629192756724078,-1.5394926898794075,0.0,-65.32185808660282,-0.15291668668975764,-1.4200887009562284,-87.02554383062711,40.169828113627595,-1.453661824008872,-60.57668932268246,252.06252234679607,-286.8323883461435
2026-08-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
