,Vessel Name,IMO,Vessel Classification,Flag Name,Direction,Crossing Date,Crossing Type,Loading State,Cargo Type,Quantity,Quantity Unit,Last Cargo Zone,Last Cargo Country,Next Port,Next Port Country,Deadweight,Build Year,Build Country,dwt_kdwt,afra_class,cargo_group,cargo_source,volume_bbl,sanctioned_iran,sanctioned_sdn,sanctioned_any,is_dark_route,is_dark_fleet,fleet
364,MIB 1,8806321,Small Tankers,NICARAGUA,Entered MEG,2026-07-04,Dark/Unknown Route,Ballast,,0,bbl,Muscat,Oman,,,1266,"1,988",JAPAN,1.266,Below GP,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
362,LARGO ATOM,1034747,MR,LIBERIA,Entered MEG,2026-07-04,Dark/Unknown Route,Ballast,,0,bbl,Karachi,Pakistan,Ras Laffan,Qatar,49740,"2,025",CHINA,49.74,LR1,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
343,BRUNEI PROSPERITY,9389899,VLCC,LIBERIA,Entered MEG,2026-07-05,Dark/Unknown Route,Ballast,,0,bbl,Taoyuan,Taiwan,Al Basrah,Iraq,321300,"2,010",REPUBLIC OF KOREA,321.3,ULCC,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
348,IKARIOTIKOS,9455703,MR,LIBERIA,Entered MEG,2026-07-05,Dark/Unknown Route,Laden,DPP,48211,bbl,Sikka,India,Hamriya,United Arab Emirates,51678,"2,012",REPUBLIC OF KOREA,51.678,LR1,products,tagged,48211.0,False,False,False,True,False,clean fleet
355,TANZANIA PROSPERITY,9414931,VLCC,LIBERIA,Entered MEG,2026-07-05,Dark/Unknown Route,Ballast,,0,bbl,Sikka,India,Al Basrah,Iraq,296800,"2,010",CHINA,296.8,VLCC,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
341,AL REEM,9430296,MR,MARSHALL ISLANDS,Entered MEG,2026-07-05,Dark/Unknown Route,Ballast,,0,bbl,Tanga,Tanzania,Ruwais,United Arab Emirates,46046,"2,010",REPUBLIC OF KOREA,46.046,LR1,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
353,SC CITRINE,9989027,Intermediate Tankers,HONG KONG,Entered MEG,2026-07-05,Iranian Route,Ballast,,0,bbl,Kandla,India,Mina Al-Ahmadi,Kuwait,26734,"2,025",CHINA,26.734,MR,ballast,loading_state,0.0,False,False,False,False,False,clean fleet
325,DOWNY,9218480,VLCC,IRAN,Entered MEG,2026-07-06,Iranian Route,Ballast,,0,bbl,EOPL,,Kharg Island,Iran,296977,"2,004",CHINA,296.977,VLCC,ballast,loading_state,0.0,True,True,True,False,True,dark fleet
306,NAVIG8 WOLF,9935301,Aframax/LR2,SINGAPORE,Entered MEG,2026-07-07,Dark/Unknown Route,Ballast,,0,bbl,Sohar Light.,Oman,Mina Al-Ahmadi,Kuwait,115194,"2,023",REPUBLIC OF KOREA,115.194,AFRA,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
308,SANAM,9858486,VLCC,SAUDI ARABIA,Entered MEG,2026-07-07,Dark/Unknown Route,Ballast,,0,bbl,Tanjung Bruas Light.,Malaysia,Ras Tanura,Saudi Arabia,299999,"2,020",REPUBLIC OF KOREA,299.999,VLCC,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
