,Vessel Name,IMO,Vessel Classification,Flag Name,Direction,Crossing Date,Crossing Type,Loading State,Cargo Type,Quantity,Quantity Unit,Last Cargo Zone,Last Cargo Country,Next Port,Next Port Country,Deadweight,Build Year,Build Country,dwt_kdwt,afra_class,cargo_group,cargo_source,volume_bbl,sanctioned_iran,sanctioned_sdn,sanctioned_any,is_dark_route,is_dark_fleet,fleet
91,ON PHOENIX,9893228,Aframax/LR2,PANAMA,Entered MEG,2026-07-29,Dark/Unknown Route,Ballast,,0,bbl,Rayong,Thailand,,,114623,"2,021",REPUBLIC OF KOREA,114.623,AFRA,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
92,TARIF,9828390,Aframax/LR2,LIBERIA,Entered MEG,2026-07-29,Dark/Unknown Route,Ballast,,0,bbl,Venice,Italy,Ruwais,United Arab Emirates,115000,"2,021",CHINA,115.0,AFRA,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
95,AL BAHYAH,9937799,VLCC,LIBERIA,Entered MEG,2026-07-28,Dark/Unknown Route,Ballast,,0,bbl,Fujairah Light.,United Arab Emirates,Zirku,United Arab Emirates,299425,"2,023",REPUBLIC OF KOREA,299.425,VLCC,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
96,ALFONSO,9256298,Handy/MR1,BARBADOS,Entered MEG,2026-07-28,Dark/Unknown Route,Ballast,,0,bbl,Fujairah,United Arab Emirates,Iraq,Iraq,38877,"2,004",CHINA,38.877,MR,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
100,KIARA M,9285823,VLCC,SAN MARINO,Entered MEG,2026-07-28,Dark/Unknown Route,Ballast,,0,bbl,Gulf of Oman,,Al Basrah,Iraq,319247,"2,004",REPUBLIC OF KOREA,319.247,VLCC,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
101,NISSOS KEA,9920758,VLCC,MARSHALL ISLANDS,Entered MEG,2026-07-28,Dark/Unknown Route,Ballast,,0,bbl,Fujairah Light.,United Arab Emirates,Al Basrah,Iraq,300323,"2,022",REPUBLIC OF KOREA,300.323,VLCC,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
102,ROMANIA PROSPERITY,9315161,VLCC,LIBERIA,Entered MEG,2026-07-28,Dark/Unknown Route,Ballast,,0,bbl,Fujairah Light.,United Arab Emirates,Zirku,United Arab Emirates,317794,"2,007",REPUBLIC OF KOREA,317.794,VLCC,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
103,SERENO,9437658,Panamax/LR1,MALTA,Entered MEG,2026-07-28,Dark/Unknown Route,Ballast,,0,bbl,Djibouti Port,Djibouti,Sitra,Bahrain,74834,"2,009",REPUBLIC OF KOREA,74.834,LR1,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
105,MONJASA SHAKER,9510591,Short Sea Tankers,UNITED ARAB EMIRATES,Entered MEG,2026-07-27,Dark/Unknown Route,Ballast,,0,bbl,Fujairah,United Arab Emirates,,,9133,"2,009",CHINA,9.133,Below GP,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
107,ROTTERDAM ENERGY,9508859,VLCC,LIBERIA,Entered MEG,2026-07-27,Dark/Unknown Route,Ballast,,0,bbl,Fujairah,United Arab Emirates,Das Island,United Arab Emirates,296659,"2,010",CHINA,296.659,VLCC,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
109,UMM AL AISH,9534781,VLCC,KUWAIT,Entered MEG,2026-07-27,Dark/Unknown Route,Ballast,,0,bbl,Fujairah Light.,United Arab Emirates,Mina Al-Ahmadi,Kuwait,319634,"2,011",REPUBLIC OF KOREA,319.634,VLCC,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
113,BLACK MAYA,9118800,Small Tankers,CURACAO,Entered MEG,2026-07-26,Iranian Route,Ballast,,0,bbl,Muscat,Oman,Bandar Abbas,Iran,2005,"1,995",JAPAN,2.005,Below GP,ballast,loading_state,0.0,False,False,False,False,False,clean fleet
114,LUCIA A,9228655,Suezmax/LR3,SAN MARINO,Entered MEG,2026-07-26,Dark/Unknown Route,Ballast,,0,bbl,Ain Sukhna,Egypt,Al Basrah,Iraq,159997,"2,003",REPUBLIC OF KOREA,159.997,LR2,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
116,NAVARA,9241798,Handy/MR1,BARBADOS,Entered MEG,2026-07-26,Dark/Unknown Route,Ballast,,0,bbl,Sohar Light.,Oman,Khor Al Zubair Light.,Iraq,40248,"2,004",REPUBLIC OF KOREA,40.248,MR,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
118,RENAD,9310161,MR,LIBERIA,Entered MEG,2026-07-26,Dark/Unknown Route,Ballast,,0,bbl,Fujairah,United Arab Emirates,Dubai Light.,United Arab Emirates,45744,"2,004",JAPAN,45.744,LR1,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
119,ST3,9220964,VLCC,MARSHALL ISLANDS,Entered MEG,2026-07-26,Dark/Unknown Route,Laden,DPP,60753,bbl,Fujairah Light.,United Arab Emirates,Sharjah,United Arab Emirates,302977,"2,002",REPUBLIC OF KOREA,302.977,VLCC,products,tagged,60753.0,False,False,False,True,False,clean fleet
121,AL ADAILIAH,9856684,MR,KUWAIT,Entered MEG,2026-07-25,Dark/Unknown Route,Ballast,,0,bbl,Kutch Light.,India,Mina Al-Ahmadi,Kuwait,48578,"2,020",REPUBLIC OF KOREA,48.578,LR1,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
