imo,vessel_name,vessel_key,flag,afra_class,dwt,fleet,is_dark_fleet,n_crossings,n_enter,n_exit,first_enter,last_enter,last_exit,last_direction,last_crossing_date,last_crossing_type,last_loading_state_xing,last_cargo_type_xing,next_port_xing,in_out,days_since_enter,days_since_exit
9414931,TANZANIA PROSPERITY,TANZANIA PROSPERITY,LIBERIA,VLCC,296800,clean fleet,False,1,1,0,2026-07-05,2026-07-05,,Entered MEG,2026-07-05,Dark/Unknown Route,Ballast,,,in,9.0,
9417464,TANI,TANI,COMOROS,AFRA,105188,dark fleet,True,1,1,0,2026-06-20,2026-06-20,,Entered MEG,2026-06-20,Dark/Unknown Route,Ballast,,Bandar Mahshahr,in,24.0,
9418066,PERU PROSPERITY,PERU PROSPERITY,LIBERIA,VLCC,318080,clean fleet,False,1,1,0,2026-07-02,2026-07-02,,Entered MEG,2026-07-02,Dark/Unknown Route,Ballast,,Ras Tanura,in,12.0,
9430296,AL REEM,AL REEM,MARSHALL ISLANDS,LR1,46046,clean fleet,False,1,1,0,2026-07-05,2026-07-05,,Entered MEG,2026-07-05,Dark/Unknown Route,Ballast,,Ruwais,in,9.0,
9430715,LUMINA OCEAN,LUMINA OCEAN,CURACAO,GP,13937,dark fleet,True,5,3,2,2026-04-11,2026-07-08,2026-06-22,Entered MEG,2026-07-08,Iranian Route,Ballast,,,in,6.0,22.0
9438274,PUFFIN TWO,PUFFIN TWO,LIBERIA,Below GP,7022,clean fleet,False,2,1,1,2026-03-02,2026-03-02,2026-03-01,Entered MEG,2026-03-02,IMO Route,Ballast,,,in,134.0,135.0
9448152,APNOIA,APNOIA,MALTA,LR1,74812,clean fleet,False,1,1,0,2026-07-12,2026-07-12,,Entered MEG,2026-07-12,Dark/Unknown Route,Ballast,,Jubail Industrial Port,in,2.0,
9455703,IKARIOTIKOS,IKARIOTIKOS,LIBERIA,LR1,51678,clean fleet,False,1,1,0,2026-07-05,2026-07-05,,Entered MEG,2026-07-05,Dark/Unknown Route,Laden,DPP,Hamriya,in,9.0,
9477177,TREND,TREND,TOGO,Below GP,7119,clean fleet,False,4,2,2,2026-06-08,2026-07-02,2026-06-24,Entered MEG,2026-07-02,Iranian Route,Ballast,,Khor Al Zubair Port,in,12.0,20.0
9482861,NAVIG8 MONTIEL,NAVIG8 MONTIEL,SINGAPORE,LR1,75571,clean fleet,False,3,2,1,2026-05-20,2026-06-13,2026-05-29,Entered MEG,2026-06-13,Dark/Unknown Route,Ballast,,Ruwais,in,31.0,46.0
