load_vessel_name,load_vessel_imo,discharge_vessel_name,discharge_vessel_imo,zone_name,start,end,cargo_origin_barrels_split_by_product,cargo_origin_tons_split_by_product,closest_ancestor_product,closest_ancestor_grade,ship_to_ship_id,query_zone,load_vessel_key,discharge_vessel_key,zone_label,sts_zone,sts_volume_bbl
Amphitrite,9455973,Al Kout,9653434,Fujairah Light.,2026-06-30 00:00:00,2026-07-01 00:00:00,2000002,278228,Crude,Kuwait,392858747,Gulf of Oman,AMPHITRITE,AL KOUT,Fujairah Light.,Fujairah Light,2000002
Dht Opal,9455662,Cameroon Prosperity,9315159,Sohar Light.,2026-06-28 21:58:00,2026-07-02 09:12:00,2120131,287861,Crude,Zakum,391354307,Gulf of Oman,DHT OPAL,CAMEROON PROSPERITY,Sohar Light.,Sohar Light,2120131
Guyana Prosperity,9728693,Kiara M,9285823,Sohar Light.,2026-06-28 20:59:00,2026-07-02 18:17:00,2004373,283297,Crude,Basrah,391352026,Gulf of Oman,GUYANA PROSPERITY,KIARA M,Sohar Light.,Sohar Light,2004373
Aragona,9513115,Cyprus Prosperity,9595216,Fujairah Light.,2026-06-28 00:18:00,2026-07-01 07:18:00,2087128,275748,Crude,Das,391339777,Gulf of Oman,ARAGONA,CYPRUS PROSPERITY,Fujairah Light.,Fujairah Light,2087128
Yuan Hua Yang,9843297,Togo Prosperity,9411032,Fujairah Light.,2026-06-27 15:18:00,2026-06-30 12:39:00,1900000,257972,Crude,Zakum,391331444,Gulf of Oman,YUAN HUA YANG,TOGO PROSPERITY,Fujairah Light.,Fujairah Light,1900000
Noble,9389253,Mombasa B,9739501,Fujairah Light.,2026-06-26 00:18:00,2026-06-28 08:39:00,2002700,264593,Crude,Das,391214551,Gulf of Oman,NOBLE,MOMBASA B,Fujairah Light.,Fujairah Light,2002700
Atlantic Pioneer,9397145,Argentina B,9389021,Sohar Light.,2026-06-26 00:00:00,2026-06-27 00:00:00,2000002,275366,Crude,ME,391354283,Gulf of Oman,ATLANTIC PIONEER,ARGENTINA B,Sohar Light.,Sohar Light,2000002
Izki,9500924,Grand Lady,9406166,Sohar Light.,2026-06-26 00:00:00,2026-06-27 00:00:00,1900000,268545,Crude,Basrah,392517737,Gulf of Oman,IZKI,GRAND LADY,Sohar Light.,Sohar Light,1900000
Adamantios,9905447,Dar Salwa,9534779,Fujairah Light.,2026-06-26 00:00:00,2026-06-27 00:00:00,2089393,290663,Crude,Kuwait,391353961,Gulf of Oman,ADAMANTIOS,DAR SALWA,Fujairah Light.,Fujairah Light,2089393
Yasa Southern Cross,9534030,France C,9322281,Fujairah Light.,2026-06-26 00:00:00,2026-06-27 00:00:00,2052742,278711,Crude,Zakum,391336847,Gulf of Oman,YASA SOUTHERN CROSS,FRANCE C,Fujairah Light.,Fujairah Light,2052742
