Vessel Name,IMO,Vessel Classification,Flag Name,Direction,Crossing Date,Crossing Type,Loading State,Cargo Type,Quantity,Quantity Unit,Last Cargo Zone,Last Cargo Country,Next Port,Next Port Country,Deadweight,Build Year,Build Country,dwt_kdwt,afra_class,cargo_group,cargo_source,volume_bbl,sanctioned_iran,sanctioned_sdn,sanctioned_any,is_dark_route,is_dark_fleet,fleet
CYPRUS PROSPERITY,9595216,VLCC,LIBERIA,Exited MEG,2026-06-27,Omani Route,Laden,Crude/Co,2087129,bbl,Das Island,United Arab Emirates,Fujairah Light.,United Arab Emirates,299996,"2,012",CHINA,299.996,VLCC,crude,tagged,2087129.0,False,False,False,False,False,clean fleet
CAMEROON PROSPERITY,9315159,VLCC,LIBERIA,Exited MEG,2026-06-27,Omani Route,Laden,Crude/Co,2120131,bbl,Zirku,United Arab Emirates,Sohar Light.,Oman,317713,"2,007",REPUBLIC OF KOREA,317.713,VLCC,crude,tagged,2120131.0,False,False,False,False,False,clean fleet
FRONT SAMARA,9845130,Suezmax/LR3,MALTA,Exited MEG,2026-06-27,Dark/Unknown Route,Laden,Crude/Co,963328,bbl,Al Basrah,Iraq,Salinetas Port,Spain,158018,"2,019",REPUBLIC OF KOREA,158.018,LR2,crude,tagged,963328.0,False,False,False,True,False,clean fleet
LAUREN II,9258521,VLCC,PANAMA,Exited MEG,2026-06-27,Dark/Unknown Route,Laden,Crude/Co,2055095,bbl,Kharg Island,Iran,EOPL,,298564,"2,004",REPUBLIC OF KOREA,298.564,VLCC,crude,tagged,2055095.0,False,True,True,True,True,dark fleet
KIKU,9329796,VLCC,PANAMA,Exited MEG,2026-06-27,Dark/Unknown Route,Laden,Crude/Co,2011727,bbl,Al Shaheen,Qatar,Fujairah Light.,United Arab Emirates,300866,"2,006",JAPAN,300.866,VLCC,crude,tagged,2011727.0,False,False,False,True,False,clean fleet
ZAYNAH,9854703,VLCC,SAUDI ARABIA,Exited MEG,2026-06-27,Dark/Unknown Route,Laden,Crude/Co,1999996,bbl,Ras Tanura,Saudi Arabia,Ras Tanura,Saudi Arabia,300759,"2,019",REPUBLIC OF KOREA,300.759,VLCC,crude,tagged,1999996.0,False,False,False,True,False,clean fleet
HERBY,9362059,VLCC,IRAN,Exited MEG,2026-06-28,Dark/Unknown Route,Laden,Crude/Co,2117766,bbl,Kharg Island,Iran,,,317356,"2,008",REPUBLIC OF KOREA,317.356,VLCC,crude,tagged,2117766.0,True,True,True,True,True,dark fleet
AL KOUT,9653434,VLCC,KUWAIT,Exited MEG,2026-06-28,Dark/Unknown Route,Laden,Crude/Co,2000002,bbl,Mina Al-Ahmadi,Kuwait,Fujairah Light.,United Arab Emirates,317019,"2,014",REPUBLIC OF KOREA,317.019,VLCC,crude,tagged,2000002.0,False,False,False,True,False,clean fleet
DAS,9854507,VLCC,LIBERIA,Exited MEG,2026-06-29,Omani Route,Laden,Crude/Co,1996430,bbl,Zirku,United Arab Emirates,Fujairah,United Arab Emirates,299995,"2,019",REPUBLIC OF KOREA,299.995,VLCC,crude,tagged,1996430.0,False,False,False,False,False,clean fleet
NISSOS KEA,9920758,VLCC,MARSHALL ISLANDS,Exited MEG,2026-06-29,Dark/Unknown Route,Laden,Crude/Co,2000002,bbl,Halul Island,Qatar,Sohar Light.,Oman,300323,"2,022",REPUBLIC OF KOREA,300.323,VLCC,crude,tagged,2000002.0,False,False,False,True,False,clean fleet
NISSOS HERACLEA,9419618,VLCC,LIBERIA,Exited MEG,2026-06-29,Dark/Unknown Route,Laden,Crude/Co,2094689,bbl,Al Basrah,Iraq,Sohar Light.,Oman,313525,"2,009",REPUBLIC OF KOREA,313.525,VLCC,crude,tagged,2094689.0,False,False,False,True,False,clean fleet
